评价内容(content)	评分（总分5分）(score)
您没有填写内容，默认好评	5
物美价廉，发货物流快，配送及时。	5
物流快，做工精致，整个款设计独特时尚。质量很好，儿子很喜欢，比实体店便宜很多，超满意	5
质量超级好 物流也很快呀 店家态度好好呢 很高大上 孩子都很喜欢呢	5
物流很快，质量很好，很喜欢	5
质量超级好 物流也很快呀 店家态度好好呢 很高大上 孩子都很喜欢呢	5
质量超级好 物流也很快呀 店家态度好好呢 很高大上 孩子都很喜欢呢	5
质量超级好 物流也很快呀 店家态度好好呢 很高大上 孩子都很喜欢呢	5
收到啦收到啦，物流速度很快呀，孩子很喜欢玩，正好周末带着孩子去公园放飞，?	5
不错不错，很好很好。。。。	5
飞行平稳，操作简单，玩了一些日子还是和新的一样，质量真不错	5
不错哦，电池使用时长持久。先是我的玩具啊，哈哈哈。个人表示很喜欢。	5
东西很不错，很高级，掌控一下就会了，很厉害。	5
男孩最喜欢这些飞机阿车的，给我儿子买的，他很喜欢，简单易上手，儿子学了一下就会了，卖家也很好，还赠送了电池	5
当你年岁渐老，你会看懂这一切都是时光的调教，把随风易逝而又不可移动深情，麻木成无所不能的一生。   成长是一笔交易，我们都是用朴素的童真与未经人事的洁白交换长大的勇气。   最真实的感情，是没有打扮的自然。	5
好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好	5
飞机收到啦，宝宝很喜欢，高科技产品都是不一样，拿到外面去其他的小朋友都追着看，我家宝宝感觉可骄傲了呢，刚开始不太会玩，不那么好掌握方向，起飞和降落，小孩子学东西就是快	5
无人机性能好，飞得平稳，感应力强，上手快容易操作，电池待机时间也挺长的，总的来说满意。	5
发货速度很快，质量看起来还不错	5
您没有填写内容，默认好评	5
发货速度很快，操作很简单，孩子玩的不亦乐乎	5
您没有填写内容，默认好评	5
飞行很稳定，价格实惠。	5
这是一个好评模版，不要看了下面都是废话。因为本姑娘很懒不想每个宝贝都写好评所以才模仿网友的好评模版但是这个宝贝不管是质量款式还是性价比都是本姑娘喜欢的如果是不喜欢的那本姑娘就会很生气然后这个模版就变成了各种喋喋不休的吐槽自然就不会撒下这个好评给各位~一个参考本宝贝还是极好的	5
孩子很喜欢玩，物超所值	5
您没有填写内容，默认好评	5
好调控！自由飞行	5
真的超级喜欢，非常支持，质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流服务态度很好，运送速度很快，很满意的一次购物	5
您没有填写内容，默认好评	5
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	5
无人机收到了，感谢！质量很好，挺不错的	5
飞机挺棒的，孩子玩的挺简单的，质量也挺不错的，实惠又便宜	5
给朋友家孩子买的，很喜欢质量也非常好，	5
送货速度快，价格合理，非常满意。	5
宝贝，收到了，外观设计漂亮，包装也很好，值得推荐	5
无人机质量很好，飞行很平稳，电池也很耐用，儿子特别喜欢。	5
电池容量大，耐用	5
好好好好好好好好好好好好好好	5
儿童玩具无人飞机收到，质量很好，宝宝很喜欢，快递也非常的快。回来宝宝就爱不释手，一直玩一直玩，非常喜欢。	5
无人机质量和做工没话说很赞?。孩子很喜欢还到处炫耀说他的飞机好玩，还送了电池，卖家很仔细心，服务的很周到下次买玩具还来你家，很满意	5
拿回来闺女就玩上了，操作简单，上手很快，质量很好，跟描述的一样	5
挺好的产品，挺好的产品，挺好的产品挺好的产品，挺好的产品，挺好的产品挺好的产品，挺好的产品，挺好的产品挺好的产品，挺好的产品，挺好的产品挺好的产品，挺好的产品，挺好的产品	5
您没有填写内容，默认好评	5
宝贝收到了，拿回来儿子就急着要玩，操作简单，玩了几天，感觉挺好的！	5
太坑了，说话不算数	5
孩子可喜欢了，操作也蛮简单的，质量好价格也实惠，女儿一收到就闹着要下楼去玩，	5
飞机收到啦，正好今天周末带儿子去广场玩了一圈，不错，质量挺好的，挺抗摔，儿子玩的挺高兴	5
送给孩子的新年礼物，宝贝很喜欢，性价比高，值得购买物流很快！！！	5
电池续航时间长，质量也好	5
为什么我喜欢京东购物，因为可以当天买自己喜欢的商品，明天就可以到达客户的家中，为什么我所有的评价都相同，因为在京东买的东西太多太多，商品积累的太多没有评价。	5
真好玩啊！质量很好架子很结实，小小的地方做工都很精致	5
质量很好，孩子很喜欢玩，没有异味，可以放心购买	5
非常完美的一次购物，宝贝儿非常喜欢，玩的都不睡觉了，非常棒！	5
在家玩了一下还是不错的，哈哈	5
东西还不错，东西还不错	5
飞机质量非常好，包装也很高档次，操控简单，很容易上手，飞的也很高，很耐摔，玩起来好开心。	5
老人家觉得蛮新奇?	5
第一次尝试vr眼镜，很有趣	5
手柄都没有，不知道怎么用	5
买手表送的，等试用后再来评论	5
颗粒感严重，一分钱一分货吧，资源也少。	5
真是用一次就扔了	5
宝贝很好，物流很快，方便便于玩耍	5
送的，还没开始用	5
不知道 还没用	5
好东东，支持国货，全五星！！！！！！	5
物流很快，飞机质量不错，挺好的，下次如果孩子需要还来买。	5
一般般吧！没有想象中的好。	3
片源真的少，而且清晰度不够。只能满足一下好奇心了。	5
送人的，挺不错?的	5
孩子看到很高兴，玩的也很开心，质量很棒的	5
买华为手环送的，还没有用过，应该还行吧	5
包装得非常仔细，第二天就送到家了，又快又好非常棒。	5
不错，待机时间了，	5
帮邻居买的，她看到我家买的挺好，就让我帮她买了，价钱比实体店便宜多了，电池耐用，很满意	5
质量棒棒的、比实体店质量还好、价格还便宜、小孩很喜欢、爱不释手&hellip;	5
送的，好评，聊胜于无	5
外观颜值高，做工精细。摄像清晰，很耐摔，孩子大人都玩得很嗨！	5
就是一个眼镜，感觉还可以	5
还没有使用，希望可以吧。。。	5
谢谢店家非常喜欢	5
很好很喜欢的啦！	5
没用的东西。	2
就是个鸡肋，送的就那样吧	5
质量很好，发货很快，跟卖家描述的一样，可以放心购买！	5
好玩，宝宝很喜欢，飞行很久，电池很耐用，充一次电飞行很久	5
赠品，还没有用，不知道怎么样	5
给孩子买的礼物，孩子很喜欢，玩的很开心，无人机玩具飞行还挺平稳的，飞行速度很快，做工精良，材质用了不易摔断的材质，总之孩子开心，做父母的也开心！	5
很好哦！儿子喜欢玩，质量也不错！	5
买无人机配送的电池，用着续航能力还行！满意的一次购物！	5
这个带着看看	5
喜欢哦！满意	5
质量很好，比较容易上手操作！孩子很喜欢！	5
已经收到了。质量还不错，宝宝挺喜欢的	5
给朋友买的，当生日礼物，朋友说挺好的，很开心	5
发货快，质量不错，容易上手操控	5
您没有填写内容，默认好评	5
质量特别好，太好玩了！说是给孩子买的，几个大人都玩嗨了?！	5
试了试，app感知不好，好多不能下载不能用，在优酷找了几个视频，感觉还成。	5
无聊买来玩玩	5
还没使用，用过后再评价。	5
质量很好，包装精美，看着很不错，性比价高，有需要还会再来	5
中丘投资控股有限公司 非常满意 继续采购！！！	5
是否对眼睛使用有影响？	5
收到了，质量不错，性比价高，有需要还会再来	5
送我姐孩子的生日礼物，他很喜欢。。	5
又买一个很值得推荐，体验不错	5
挺不错的，质量很好，遥控灵敏，孩子很喜欢	5
质量不错哦，很喜欢。	5
虽然是赠品，但是体验感受下也不错。	5
不错，很好用，下次还来光顾	5
我以为是。。。。。结果是。。。。。。	5
发货快，物流给力，和描述的一样，客服服务态度好，下次再来	5
试戴了下感觉清晰度一般佩戴时间长了容易造成头晕眼花等现象，稍微玩下还是不错的。	5
权当是个玩具，没什么太大用处	5
快递速度很快，产品质量很好，很喜欢，非常愉快的一次购物	5
感觉还不错，带眼睛的近视就不好了，资源有点少	5
重影，一般	2
终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的！说实在，这是我~购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快	5
赠品，有瞳距调节，没有焦距调节，眼睛有度数就没法看清楚了	5
试玩了下，飞的很稳定，不错，值这个价钱	5
这就是一个一次性玩具，不建议购买，画质很差，抱有期望的同志们就不要考虑这款了。	5
终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的！说实在，这是我~购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快	5
飞机模型很好，孩子很喜欢，质量也很好，满意。	5
不好意思收货晚了点，第一次购买，发货很快东西收到之后马上查看了，和预想的一样，同事已经问了链接。很有耐心的卖家，以后有需要还会回购的。	5
多次购买，朋友带小孩到家做客，拿上飞机老是爱不释手，没办法，只好送了	5
东西很满意，质量很好，也很喜欢。	5
不好意思收货晚了点，第一次购买，发货很快东西收到之后马上查看了，和预想的一样，同事已经问了链接。很有耐心的卖家，以后有需要还会回购的。	5
不晓得怎么用	5
就是两个塑料镜片，没啥用，这赠品还不如不要	1
实际使用意义不大！！	5
遥控飞机质量很好，操作简单，孩子很喜欢，价格不贵，很满意	5
华为有心了，虽然质量一般，毕竟是赠品，能接受。会一直支持国货代表品牌	5
宝贝 用了一段时间  感觉不错	5
东西还是不错的样子哦不错不错	5
入门版VR眼镜，华为手环的赠品，感受一下还是不错的。	5
非常好，很是完美 值得拥有	5
孩子很喜欢，每天都玩。爱不释手。质量很好	5
买华为手表，赠送的，里面功能非常超前，学习中	5
此用户未及时填写评价内容，系统默认评价！	5
便宜无好货，我感觉是这样。可能是我眼镜的事，或者是没操作好，一直重影，不能清晰的看到3D效果啊。	5
小飞机不错，质量很好，孩子非常喜欢	5
VR的新体验，可以尝试一下新的东西，蛮好的，推荐大家都试试。	5
感觉有点落伍了，软件东西太少，	3
货真价实，物流很快，喜欢	5
您没有填写内容，默认好评	5
送的，没啥用	5
此用户未及时填写评价内容，系统默认评价！	5
赠品，试试看吧	5
还可以，看电影什么的都可以，带着眼镜也没事，少一分是因为配套的软件app真的不怎么样，现在一直在用爱奇艺vr软件。总体来说符合预期。	4
到货速度快，小哥态度好，非常满意的一次网购经历	5
宝贝很喜欢，试过了！平衡力很不好！邻居看见了也想黑给儿子买个！	5
还可以。就是不如电子的好，手机能够直接用。	5
赠品还不错，清晰度一般	5
还没拆，礼物吗吗？	5
APP的应用的视频或者哦，游戏东西太少了，没有什么直接的感觉	5
帮朋友买的，老顾客了，产品质量还是这么好，朋友很喜欢，买的超值，让给店家个赞，下次还来	5
充一次电用很长时间，有需要会再来的，	5
给儿子买的生日礼物，非常喜欢，卖家服务态度好，发货也很快，给商家点赞！	5
收到货，还没试用。	5
锻炼宝贝的动手动脑能力，很棒	5
还算不错，小孩子玩玩可以	5
很好，物超所值！	5
不错，很好，不一样的感觉，有点意思。	5
戴上重，效果还是可以的，下载了app，可以看电影了	5
小宝很喜欢，操作简单，价格实惠，满意	5
收到宝贝迫不及待打开看看，机子很漂亮，做工精细。这个价位的无人机真不错！电池用着很方便，和卖家描述的一样，物流也很给力！	5
赠品还没用，外形高大上	5
虽然价格便宜，性能超出现象，很好	5
电池安装很方便，非常耐用。。	5
赠品，还没有使用，希望好玩	5
还蛮不错的呢	5
这个算是高科技吧，还没用	5
发货很快，质量不错，期待再次购买	5
非常好，晚上回家体验一把	5
不错，相信大品牌，经常买了，价格非常好啊啊啊啊	5
还是蛮不错的	5
这个飞机不错，试飞了很好玩，拿出去很拉风，卖家服务好，有需要再来	5
宝贝很好，儿子喜欢的不得了，宝贝材料质地都挺不错	5
2微码扫不了，体验不好	5
买手表送的，感觉还不错，好玩的东西	5
东西不错，物超所值，物流也很给力，包装也不错，都挺好的	5
很好，物有所值哦	5
什么资源都没有？	1
戴着很舒服，片源不怎么清晰。	5
感觉不错。	5
赠品还没用，看起来不错	5
不错，质量挺好的，特地玩了几天才来评价，性价比很高，比外面买便宜很多，喜欢	5
物流快，性价比高，自营有保障	5
赠送的东西，我弟说还行&hellip;有点点效果。	5
赠品，好好好好好好好好好好好好	5
重影比较严重，效果比较差，	5
还没有使用，春节前收到就在外过年，然后没想起来，期待效果。	5
送的东西，就是呵呵	1
找不到APP	3
收到就迫不及待的打开了，质量不错，孩子很喜欢	5
质量很好，非常不错，操作简单，一学就会，非常不错！	5
科技感十足，特别酷。。。	5
玩具质量很好，很环保。电池很耐用。孩子非常喜欢。	5
还行，一分钱一分货，也不指望有多清晰	5
电池很耐用，质量很好。	5
赠送的，很不错。	5
东西很尴尬头带着不舒服	5
手机都有2个了，效果就那样吧，反正是赠品！	5
电磁耐用，满意	5
飞机收到，包装很好，没有磕碰，孩子很喜欢，很好操控，结实，不怕摔，好评，好评。	5
还没拆开，用了再追评	4
买的放心，用的舒心，京东出品值得购买，赞一个，用起来很好，就是开始的开始有连接断开的情况，更换了一个，物流很快，半天就更换了，现在未有发现问题。这个是买手环赠送的，实话不太实用，但是也是京东的心意，推荐大家购买！！！	5
烂烂烂，烂透了，制作简陋！极其粗糙，怪不得只能当配送品来，卖不出吧！求你别和B5一起卖了，拉低华为的产品和档次！	1
飞机收到，包装很好，没有磕碰，孩子很喜欢，很好操控，结实，不怕摔，好评，好评。	5
赠品就那样	5
买手环送的，还可以，对得起这个价格了	5
宝贝很好，公司采购用的，试看了一下很完美	5
购物送的，还没用，看着不错！	5
买华为手表送的，也不知道好不好用，嗯，但是这种东西比较伤眼睛的，买得到买的人，自己慎重选择	5
赠品，不怎么喜欢	5
什么都好 客服内心解答 就是手柄没补发	5
很好，不错，用着还可以	5
蓝牙连不到手柄，不清晰，跟小时候玩的玩具有的比，不成熟的技术不要拿出来卖啊	1
只拿到了眼镜，手柄一直没有送到，到现在退货时间也过了，快开学了要回学校，问客服帮我催还是改地址他也只回了一个&ldquo;好的&rdquo;来敷衍我，不爽	1
可以给5分了，自行摸索，遇到的问题基本解决。画面模糊，头晕，主要是没佩戴正确，光路没对造成的。偶是绷紧头顶的头戴，就解决了。要相信暴风，毕竟这货也是3K的分辨率。另外，用的是LCD，肯定是能点对点最好，要清晰肯定是视频的分辨率越高越好，最好是4K的VR视频，常见的就是给Oculus 用的视频。	5
质量不错，操作简单，大人孩子都挺喜欢的。	5
赠品，尚未使用。	5
订了一套，结果手柄没给我发货，手柄半个月了马上人都走了，还没给人处理	1
买手表送的，基本没什么用	5
赠品，看着还行	5
非常好的赠品，大方漂亮，非常好，京东服务好，速度快	5
觉得挺垃圾的，很模糊，还是扔了吧，很浪费。	5
送的，这东西没什么用，片源太少了，很鸡肋。	5
相对于这个价格来，还是不错的	5
app内容太少，基本上没有完整的影片，影像较模糊。小孩子玩玩还是可以的	4
赠品还可以吧	5
小孩很喜欢	5
手表赠品，都没有手柄，也不够清晰，20-2000没太大区别	5
暴风魔盒。很不错，方便小巧。六寸的手机也能放下。近视的可以戴眼镜。	5
很好玩，是个不错的宝贝，很好的体验。	5
好东西儿子用。	5
买华为gt送的我看了一下49元49元买不了吃亏买不了上当坐在家中享受vr身临其境还有3d@大片送让我们一起在vr的世界里感受东京热	5
对赠品没要求，如果花钱感觉不值。	5
看着很高大上的，	5
玩具质量很好，价格比实体店便宜，操作简单，孩子自己就可以玩	5
非常非常非常的好，支持国产。	5
卖家发货很快。操作很简单.大人小孩都能玩，质量挺好的，比超市里的要优惠很多，真心推荐，性价比很高的一款飞机。	5
京东真的很好 送货快 价格便宜 质量也好	5
小孩就是喜欢这些玩具，喜欢玩新鲜的。看着小孩玩的好开心，感觉很不错。	5
质量棒棒的，儿子非常喜欢	5
虽然是送的，但是这种低端的VR体验不太好，不建议购买。	3
礼品还好吧。一分钱一分货	5
质量真的不错，孩子玩的很开心，遥控很灵活，个人感觉还是比较锻炼孩子的动手动脑能力，很满意	5
不错，挺好，非常好，信赖京东。	5
VR3D眼镜 效果真好出乎意料	5
赠的东西，还没有拆开过&hellip;	5
感觉不是很实用。	5
这个是赠品，没怎么用，	5
飞机质量不错，很容易操作，孩子学的很快，玩起来很开心	5
质量很好，耐用	5
东西能用，APP里的资源太次，看着都是马赛克！还有bug	5
很好，喜欢，孩子很高兴	5
使用了一会，价格在这呢，不能和上Q的比	5
收到了质量很好，做工材质都挺好，带个孩子去公园里放飞了回，玩的很嗨	5
买手环送的，使用起来可以，就是手机耗电快了	5
熊孩子非常喜欢，玩的不放手，没电了拿去充电，才刚充就说充满了&hellip;&hellip;爱不释手，还耐摔。	5
质量特别的好，宝贝很喜欢玩充电很快比超市里优惠多了以后需要玩具还来你家棒棒哒	5
以前没用过   蛮不错的  可以看视频玩	5
您没有填写内容，默认好评	5
赠品我是挺满足的	5
儿子很喜欢玩，而且质量也是很好，	5
还没用，效果肯定一般没时间弄	5
看不清，也不知道能干嘛用	5
赠品很有意思，给小朋友玩了。	5
过几天就是朋友宝宝的生日了。实在是不知道要买什么送给她之前买过觉得很好，现在回购。	5
买华为手环赠送的	5
试了试，除了3D资源身边没有，看电影可能资源不对，没啥特别效果外，还可以吧！没试过别的，也不清楚其他的怎么样喽，接收好评了	5
遥控飞机收到了质量不错，防摔效果也不错孩子玩的非常开心超值	5
收到货后很惊喜，太好玩了， 孩子们很喜欢玩，好评	5
呀呀，宝贝收到啦。宝宝太喜欢啦，一直买他家的飞机，质量很好，电池也很耐用。哥哥姐姐孩子多，一人一个，都已经买了好多次了??	5
二次购买了，质量真的很好，侄儿玩的开心，后来又买了个送朋友儿子玩呢	5
飞机很好玩，一家人都喜欢，持续时间长，操作简单	5
此用户未及时填写评价内容，系统默认评价！	5
宝贝很好！这是第二次买，质量和第一次一样没得说，飞行平稳，拍摄清晰！电池容量也非常大！大家可以放心购买！	5
很满意一次购物，下次还会再来	5
质量不错，操控稳，易上手	5
收到孩子非常喜欢，质量很好，很好操作，一点也不难，很耐摔	5
操作简单，容易上手，非常满意	5
挺灵敏，孩子喜欢，回头还没来的！	5
材质很好！物流很快，商家服务非常好！多次在他家购买！	5
很快就收到啦，飞机质量非常好，很耐摔，摔了好几回都没事，很好操作，孩子不一会就能自己操作了	5
之前自己买了，挺好的，又买一个送朋友	5
发货很快。商品质量也相当不错。太喜欢了，谢谢！	5
喜欢，不错	5
宝贝收到啦，耐摔质量好，孩子很喜欢。满意	5
包装的很好，操作简单的很，无人机灵活，稳定性好，信号传输的快，视频清晰。	5
您没有填写内容，默认好评	5
非常酷，质量保证，很高科技，宝宝超级喜欢	5
质量非常好，宝贝非常喜欢，和图片描述一样，无异味，价格比实体店优惠很多，非常喜欢	5
不错，给朋友家的孩子买的，孩子特别喜欢，质量也很好，卖家态度很好五星好评	5
质量非常好，值得推荐宝妈购买	5
宝贝很不错	5
质量很好，值得购买	5
质量很好，操作简单，一学就会，孩子很喜欢，商家也给力	5
您没有填写内容，默认好评	5
告知嘻嘻嘻嘻你仔细why孩子一下子一直在想	5
只是为了拿京豆，筹够20个字，现在还没够，现在可以了。	5
非常好用。非常好用，非常好用	5
随便给你打电话的时候就可以了吗？？	5
买表是送的	5
这个是赠品。一直在京东自营买东西，这次可能是因为需要配货的原因，收货时间有点长（第4天收货），不过还好。	5
有点效果，比想象中好，清晰度不太高	5
完全没有用 赠品果然是赠品	4
很棒的小东西，操作简单，效果不错，尽享全景画面！赞??	5
不是很实用，玩一下就没有太多的价值了。	5
好有意思的东西，比较好玩	5
挺好放视频呗真是。比电视强?????	5
东西很不错。	5
用着不复杂，就是可能我的手机不够清晰，带上了之后没那么清晰	5
赠品，只能看手机，不实用	3
东东很好呢，一直买京东的东西，发货快质量好	5
随手环的赠品，还行吧	5
完全没用的东西就不要送给客户了，还不如售价便宜点	1
好玩 每周回来孩子都要带一会。就是内容可增加酒更好了。	5
赠送的东东准备送人了，还没有开启包装。	5
不能调焦距这点很头疼	3
赠送的，还没使用，也不知如何用。	5
没用，赠品。。到时候看处理下。。我看不成3D。。头晕。	5
可能不习惯吧	3
我喜欢在京东买东西不是因为京东的质量好也不是因为京东的物流快，而是因为我喜欢京东的老板娘	5
还没使用，用了再评价！	5
送的还没有用，等用了再来追加吧	5
买表送的，很有意思	5
赠品来的，感觉还可以。。。。。。。	5
东西送的挺快的，就是这是干嘛用的啊？	5
这东西是来搞笑的。	5
还没拆，应该还行吧	5
不错！唯一不足是:我的手机屏是6.0以上的，所以图像很虚，建议生产出6.0以上屏也能正常观看的！	4
还没有用，感觉有点高科技	5
赠品，没有试用过。	5
挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的挺好的	5
确实是不错，真的很棒！赞一个！！大赞！我继续！	5
赠品，也就是体验下，不怎么用。	5
虽然是赠品，但是质量看起来还不错	5
试玩，内容质量有待提高	5
什么破玩意，还不如不送。完全就是没用的！需要使用指定APP，APP里放心没有一个你想看的，而且还不清晰。	1
挺好的，放在办公室里面使用了	5
感觉我不太适合用vr眼镜，看久了会头痛，戴着还算舒服	5
还不错，效果可以，操作简单！	5
效果很好，应该是正品，值得再次购买效果很好，应该是正品，值得再次购买	5
曾平，未必比没有强，京东的赠品基本是为了以后不保价的理由！！！！！！！！！！！！！！！！！！！！！！！！！	3
效果还不错	5
买华为手环送的，感觉一般般吧！	5
买华为手表的附赠品，从生产日期上看应该是积压品。视觉效果还可以，可惜配套应用里面资源太少，特别是好玩的太少	5
产品还不错，是这个价位该有的品质	5
找机会试一下	5
下载了对应的软件，试用了一下，感觉视觉效果一般，清晰度一般。就是一个360度的3d视觉的效果。而且片源很少，体验感一般。	5
新的戴着有点紧	5
赠送的东西，还没用，包装很好	5
感觉还不错，目前未使用	5
谢谢老板的礼物，价格虽然贵点。	5
这个很坑的，虽然是赠品，但是这个东西配套的app已经凉了，官网也打不开。	5
收到了。不错	5
不好用，效果不咋样！	4
买来送客户的，客户非常的满意。	5
快递物流没的说  快的很  但是这个VR眼镜确实不太满意，既然是赠品也不能要求太高！好评	5
买运动手表送的，看着还不错，还没用到过	5
买来送客户的，客户非常的满意。	5
赠品，用一次就收了	5
这玩意简直是个完呢，看看就得了。	2
除了头晕外，没多少用处	1
非常好，非常喜欢！	5
试了一下，还行，就是找不到高清片源。	4
赠品也算不错了。	5
赠品，感觉好高大上，哈哈哈	5
可以，华为的真的很不错。	5
真的挺好 ，以前没用过，试了一下很有意思的	5
还不错，价格便宜，最重要的是可以戴眼镜看，不过看的时候画面还是感觉有点重影，怎么都调不了最好，不过还是能看，手机分辨率太低，所以看的时候有颗粒感	4
下载的软件里面好像长的电影什么的很少，感觉还是蛮新奇的	5
赠品，还没有印花税	5
还没拆开，不怎么感兴趣，送的，有时间再看看吧！	5
没有用，应该可以吧，送的也不能要求太多！	5
非常垃圾的东西，下载它的APP戴着一看那效果，#，网上查单买得三四十块，商家一定是#，你不送这玩意便宜十块都比送这垃圾好。	1
产品不错，但不会用	5
亲东西已经收到了，孩子很喜欢	5
送的，还没用过。	5
买手表送的，还没用(~_~;)	5
非常不错，满意。	5
感受了一下，看电影还是不错不错的	5
送的，看起来不错，还没用，后期再追加评论	5
还没试用过。	5
随机赠送赠品，还没有使用。	5
非常好值得购买下次再来买！	5
东西还是不错的，还会再买的	5
结构简单不用电，就是两组透镜，实惠好用。	5
挺不错，只要片源好就看得清楚	5
宝贝己收到，还没时间使用。期待&hellip;&hellip;	5
第二次买了	5
买手表送的vr，试用了还不错，不过镜片上有的瑕疵	5
好喜欢，操作简单方便！	5
很棒的看片神器，非常美好，带上很舒服	5
航拍飞机质量杠杠滴，拍的很清晰，我是货比好几家才决定买了这家的，没有失望哦⊙&forall;⊙！	5
结合售价产品还是不错的，这个价格也不能要求太多。就是有两点稍微改进一下就好了，首先是容易起雾，戴两分钟镜片就起雾了，看不清楚需要擦镜片。再一个就是手机要裸机装进去，即便是套了很薄的手机壳，眼镜盖都很难盖上。	5
玩具质量真心好。性价比高。物流快。宝宝喜欢	5
看电影新体验，解放双手	5
真心很好。质量超级好 宝宝特别喜欢	5
送的不知道干嘛用的	5
收到货了，非常满意，质量不错，无异味，孩子很喜欢，，价格也不贵，真心满意。	5
出现是否是的v	5
货收到了。app扫码链接打不开，公众号也无法安装，成了板砖	1
是赠品，可能我不太会用，用不明白，眼睛疼	2
挺好的，以前没用过，确实out了	5
不错，蛮好用的，值得推荐	5
包装还可以，东西还没用，用完再评	5
物流迅速，京东值得信赖，赞一个。	5
好用还不错	5
质量很好，电池很耐用，送给朋友很实用。	5
挺好的，挺好的，值得拥有，推荐！	5
玩具收到了，质量特别好，孩子们都很喜欢	5
没有用，坏的	1
遥控飞机真心不错，孩子很喜欢，飞的挺高的，能很好的掌握平衡	5
不错，有点感觉	5
